Semana iniciada em (configure no XLSX);Entradas (R$);Saídas (R$);Saldo da semana;Observações
2026-08-03;;;;Preencha no XLSX para usar as fórmulas
2026-08-10;;;;Preencha no XLSX para usar as fórmulas
2026-08-17;;;;Preencha no XLSX para usar as fórmulas
2026-08-24;;;;Preencha no XLSX para usar as fórmulas
2026-08-31;;;;Preencha no XLSX para usar as fórmulas
2026-09-07;;;;Preencha no XLSX para usar as fórmulas
2026-09-14;;;;Preencha no XLSX para usar as fórmulas
2026-09-21;;;;Preencha no XLSX para usar as fórmulas
2026-09-28;;;;Preencha no XLSX para usar as fórmulas
2026-10-05;;;;Preencha no XLSX para usar as fórmulas
2026-10-12;;;;Preencha no XLSX para usar as fórmulas
2026-10-19;;;;Preencha no XLSX para usar as fórmulas
