Dia;Formato;Tema;Gancho;Desenvolvimento;CTA;Página base;Direção de gravação;Meu status
1;Reels;Horário no meio do corte;O cliente pergunta “tem horário hoje?” bem na hora que você está terminando um degradê.;Mostre a tela chegando, continue o corte e explique como você organiza a resposta sem largar o cliente.;Conta aqui: quem responde o WhatsApp na sua barbearia?;/recursos/guias/guia-definitivo-agendamento;"Cena real do atendimento; sem encenar pressa.";Não comecei
2;Stories;Agenda do dia;Antes de abrir, olha o que precisa estar conferido.;Mostre horários, profissionais e encaixes em três telas curtas.;Salve este checklist.;/recursos/materiais;Use texto grande e uma ideia por story.;Não comecei
3;Reels;Cliente sem resposta;Quantos pedidos de horário ficam para depois quando a casa enche?;Conte uma situação real e mostre o processo que evita esquecer a conversa.;Manda para o sócio que vive com o celular na mão.;/recursos/guias/guia-definitivo-agendamento;Fale como conversa, sem prometer agenda cheia.;Não comecei
4;Carrossel;Remarcação sem confusão;Remarcar não precisa virar dez mensagens.;Mostre: confirmar pedido, consultar opção, registrar novo horário.;Baixe o script e adapte.;/recursos/materiais;Use prints anonimizados ou mockups da própria operação.;Não comecei
5;Reels;Ticket médio;Barbearia cheia e faturamento travado? Olhe o ticket antes de mexer no preço.;Explique quantidade, preço médio e mix de serviços com um exemplo simples.;Use a calculadora gratuita.;/recursos/materiais;Não apresente projeção como resultado garantido.;Não comecei
6;Stories;Enquete de serviço;O que seus clientes pedem junto com o corte?;Abra enquete com duas opções reais e explique que a resposta ajuda a montar combos.;Vote aqui.;/recursos/guias/aumentar-ticket-medio;Evite opção que a casa não oferece.;Não comecei
7;Reels;Combo bem montado;Desconto sozinho não faz um combo ser bom.;Compare soma individual, preço do combo, custo e margem.;Baixe a planilha antes de divulgar.;/recursos/materiais;Mostre números legíveis e realistas.;Não comecei
8;Carrossel;Preço do serviço;Seu preço cobre custo, tempo e margem?;Separe custo fixo, material usado, horas disponíveis e posicionamento.;Use a planilha de precificação.;/recursos/materiais;Inclua aviso para validar com contador.;Não comecei
9;Reels;Faturamento não é lucro;Entrou dinheiro no caixa. Isso não quer dizer que sobrou.;Mostre entradas, saídas e saldo semanal em uma situação cotidiana.;Baixe o fluxo de caixa.;/recursos/guias/controle-financeiro-barbearia;Não dê aconselhamento contábil individual.;Não comecei
10;Stories;Fechamento semanal;Três números para olhar antes de começar outra semana.;Mostre faturamento, ticket e horários ociosos.;Qual deles você já acompanha?;/recursos/materiais;Use dados anonimizados.;Não comecei
11;Reels;Comissão;Comissão anotada em papel vira discussão no fechamento.;Mostre registro por atendimento, regra definida e resumo por profissional.;Pegue a planilha gratuita.;/recursos/guias/gerenciamento-equipe;Não trate regra trabalhista como universal.;Não comecei
12;Carrossel;Horário por profissional;A barbearia abre no mesmo horário, mas cada barbeiro pode ter a própria agenda.;Mostre escala geral, exceção individual e folga.;Salve para revisar com a equipe.;/recursos/guias/escala-equipe;Use exemplos claros, não interface inventada.;Não comecei
13;Reels;Atraso;O atraso fica pior quando o cliente descobre só na cadeira.;Mostre como avisar, oferecer opção e registrar a decisão.;Baixe os scripts de atendimento.;/recursos/materiais;Priorize transparência, não culpa.;Não comecei
14;Stories;Caixa de perguntas;Qual parte da gestão mais toma seu tempo hoje?;Abra caixa: agenda, equipe, caixa ou clientes.;Responde aqui.;/recursos;Use as respostas para pautas futuras.;Não comecei
15;Reels;Cliente que sumiu;Reativar cliente não é mandar promoção para todo mundo.;Explique permissão, contexto e uma tentativa relevante.;Veja o roteiro responsável.;/recursos/materiais;Mostre a opção SAIR na tela.;Não comecei
16;Carrossel;Fidelização;Fidelização começa no atendimento, não no cupom.;Mostre pós-atendimento, previsão de retorno e preferência registrada.;Baixe o plano de 30 dias.;/recursos/guias/fidelizacao-clientes;Não use estatística sem fonte.;Não comecei
17;Reels;No-show;Silêncio no WhatsApp não é motivo para inventar cancelamento automático.;Explique lembrete, resposta clara e registro de ausência.;Use o fluxo de confirmação.;/recursos/guias/reduzindo-faltas;Não crie política que a barbearia não pratica.;Não comecei
18;Stories;Bastidor da agenda;O que acontece entre a mensagem e o horário marcado?;Mostre consulta, escolha e confirmação em três partes.;Quer ver o fluxo completo?;/recursos/guias/guia-definitivo-agendamento;Anonimize nomes e telefones.;Não comecei
19;Reels;Um número ou vários;Sua equipe atende no mesmo WhatsApp ou cada profissional usa o próprio número?;Mostre os dois cenários e o custo de perder o histórico.;Conta como funciona aí.;/recursos/guias/gerenciamento-equipe;Pergunta real, sem induzir resposta.;Não comecei
20;Carrossel;Cadastro de clientes;Nome e telefone não contam a história toda.;Mostre preferência, último serviço, profissional e permissão de contato.;Revise seu cadastro.;/recursos/guias/fidelizacao-clientes;Minimize dados e respeite privacidade.;Não comecei
21;Reels;Meta mensal;Meta que fica só no mês não ajuda a decidir hoje.;"Quebre em semana, dia e profissional; depois compare com capacidade.";Baixe o plano de metas.;/recursos/materiais;Não prometa que a meta será atingida.;Não comecei
22;Stories;Horário ocioso;Qual período mais sobra na sua agenda?;Use enquete manhã, tarde ou noite e explique como medir.;Vote e confira sua agenda.;/recursos/guias/reduzindo-faltas;Evite falsa escassez.;Não comecei
23;Reels;Atendimento solo;Quando você atende sozinho, cada interrupção pesa.;Mostre corte, mensagem chegando e a rotina organizada para responder depois ou automatizar com segurança.;Baixe o checklist.;/recursos/materiais;Não diga que tecnologia substitui cuidado humano.;Não comecei
24;Carrossel;Abertura de barbearia;O letreiro não é o primeiro passo.;Organize planejamento, licença, operação, equipe e caixa.;Use o checklist de abertura.;/recursos/materiais;Reforce que regras variam por município.;Não comecei
25;Reels;Avaliação;Pedir avaliação funciona melhor quando a experiência está fresca.;Mostre como pedir feedback real sem oferecer recompensa condicionada.;Salve o roteiro.;/recursos/guias/fidelizacao-clientes;Use avaliações verdadeiras e autorizadas.;Não comecei
26;Stories;Dúvida do cliente;“Tem vaga com quem faz degradê?”;Mostre como serviço, profissional e horário precisam conversar.;Qual pergunta mais chega aí?;/recursos/guias/guia-definitivo-agendamento;Use pergunta comum da própria equipe.;Não comecei
27;Reels;Relatório útil;Relatório bonito não resolve nada se ninguém toma uma decisão.;Escolha um número, mostre o que ele indica e uma ação possível.;Qual decisão você precisa tomar esta semana?;/recursos/guias/relatorios-metricas;Não sobrecarregue a tela.;Não comecei
28;Carrossel;Rotina da equipe;Quem confirma, quem remarca e quem resolve exceção?;Defina responsável por etapa e prazo de resposta.;Faça esta revisão com a equipe.;/recursos/guias/gerenciamento-equipe;Deixe papéis claros, sem microgerenciar.;Não comecei
29;Reels;Atendimento pelo WhatsApp;O cliente não quer aprender seu processo. Ele só quer um horário claro.;Mostre uma conversa curta: pedido, opções, escolha e confirmação.;Veja o checklist completo.;/recursos/materiais;Use linguagem natural e uma pergunta por vez.;Não comecei
30;Reels;Fechamento do mês;Antes de correr atrás de mais cliente, entenda o mês que acabou.;Compare atendimentos, faturamento, ticket, retorno e horários ociosos.;Baixe o kit de gestão e escolha um ponto para melhorar.;/recursos/materiais;Feche com ação concreta, não com promessa genérica.;Não comecei
